cond_mt_lowcrust_conus117_250m,PosSite_Distance
4.127771,707.1068
4.127771,559.01697
4.127771,500
4.127771,559.01697
4.055595,707.1068
4.127771,559.01697
4.127771,353.5534
4.127771,250
4.127771,353.5534
4.055595,559.01697
4.127771,500
4.127771,250
4.127771,0
4.127771,250
4.055595,500
4.127771,559.01697
4.127771,353.5534
4.127771,250
4.127771,353.5534
4.055595,559.01697
4.127771,707.1068
4.127771,559.01697
4.127771,500
4.127771,559.01697
4.055595,707.1068
4.2313857,707.1068
4.2313857,559.01697
4.2313857,500
4.2313857,559.01697
4.2313857,707.1068
4.2313857,559.01697
4.2313857,353.5534
4.2313857,250
4.2313857,353.5534
4.2313857,559.01697
4.2313857,500
4.2313857,250
4.2313857,0
4.2313857,250
4.2313857,500
4.2313857,559.01697
4.2313857,353.5534
4.2313857,250
4.2313857,353.5534
4.2313857,559.01697
4.2313857,707.1068
4.2313857,559.01697
4.2313857,500
4.2313857,559.01697
4.2313857,707.1068
4.123486,500
4.123486,559.01697
4.123486,353.5534
4.123486,707.1068
4.123486,559.01697
4.0183206,500
4.880835,707.1068
4.880835,559.01697
4.880835,500
4.880835,559.01697
4.880835,707.1068
4.880835,559.01697
4.880835,353.5534
4.880835,250
4.880835,353.5534
4.880835,559.01697
4.880835,500
4.880835,250
4.880835,0
4.880835,250
4.880835,500
4.880835,559.01697
4.880835,353.5534
4.880835,250
4.880835,353.5534
4.880835,559.01697
4.880835,707.1068
4.880835,559.01697
4.880835,500
4.880835,559.01697
4.880835,707.1068
4.691252,707.1068
4.91235,559.01697
4.91235,500
4.91235,559.01697
4.91235,707.1068
4.691252,559.01697
4.91235,353.5534
4.91235,250
4.91235,353.5534
4.91235,559.01697
4.691252,500
4.91235,250
4.91235,0
4.91235,250
4.91235,500
4.691252,559.01697
4.91235,353.5534
4.91235,250
4.91235,353.5534
4.91235,559.01697
4.691252,707.1068
4.91235,559.01697
4.91235,500
4.91235,559.01697
4.91235,707.1068
4.127517,707.1068
4.127517,559.01697
4.127517,500
4.127517,559.01697
4.127517,707.1068
4.127517,559.01697
4.127517,353.5534
4.127517,250
4.127517,353.5534
4.127517,559.01697
4.127517,500
4.127517,250
4.127517,0
4.127517,250
4.127517,500
4.127517,559.01697
4.127517,353.5534
4.127517,250
4.127517,353.5534
4.127517,559.01697
4.127517,707.1068
4.127517,559.01697
4.127517,500
4.127517,559.01697
4.127517,707.1068
4.967076,707.1068
4.967076,559.01697
4.967076,500
4.967076,559.01697
4.967076,707.1068
4.803833,559.01697
4.803833,353.5534
4.803833,250
4.803833,353.5534
4.803833,559.01697
4.803833,500
4.803833,250
4.803833,0
4.803833,250
4.803833,500
4.803833,559.01697
4.803833,353.5534
4.803833,250
4.803833,353.5534
4.803833,559.01697
4.803833,707.1068
4.803833,559.01697
4.803833,500
4.803833,559.01697
4.803833,707.1068
4.483384,707.1068
4.483384,559.01697
4.483384,500
4.483384,559.01697
4.483384,707.1068
4.483384,559.01697
4.483384,353.5534
4.483384,250
4.483384,353.5534
4.483384,559.01697
4.483384,500
4.483384,250
4.483384,0
4.483384,250
4.483384,500
4.483384,559.01697
4.483384,353.5534
4.483384,250
4.483384,353.5534
4.483384,559.01697
4.483384,707.1068
4.483384,559.01697
4.483384,500
4.483384,559.01697
4.483384,707.1068
3.8460476,707.1068
3.8460476,559.01697
3.8460476,500
3.8460476,559.01697
3.8460476,707.1068
3.8460476,559.01697
3.8460476,353.5534
3.8460476,250
3.8460476,353.5534
3.8460476,559.01697
3.8460476,500
3.8460476,250
3.8460476,0
3.8460476,250
3.8460476,500
3.8460476,559.01697
3.8460476,353.5534
3.8460476,250
3.8460476,353.5534
3.8460476,559.01697
3.8460476,707.1068
3.8460476,559.01697
3.8460476,500
3.8460476,559.01697
3.8460476,707.1068
3.8823838,707.1068
3.8823838,559.01697
3.8823838,500
3.8823838,559.01697
3.8823838,707.1068
3.8823838,559.01697
3.8823838,353.5534
3.8823838,250
3.8823838,353.5534
3.8823838,559.01697
3.8823838,500
